Refinery Configuration,Config,Capture Scenario,Year,PADD,Scenario,API,Sul,"Total Avoided CO2,kt/y","Marginal Abatement Cost, $/t"
Medium Conversion: FCC & GO-HC (3),3,Steam Boiler,2050,3,MEDIUM,HEAVY,SOUR,148.775615,184.2126263
Medium Conversion: FCC & GO-HC (3),3,SMR,2050,3,MEDIUM,HEAVY,SOUR,483.7946922,127.3929728
Medium Conversion: FCC & GO-HC (3),3,Others,2050,3,MEDIUM,HEAVY,SOUR,289.6033479,165.2057592
Deep Conversion: FCC (4),4,ADU/VDU,2050,3,MEDIUM,HEAVY,SOUR,2826.007575,133.8876642
Deep Conversion: FCC (4),4,CNR,2050,3,MEDIUM,HEAVY,SOUR,815.673447,148.7198072
Deep Conversion: FCC (4),4,FCC,2050,3,MEDIUM,HEAVY,SOUR,3183.672049,86.55823729
Deep Conversion: FCC (4),4,Coker,2050,3,MEDIUM,HEAVY,SOUR,1583.077362,139.4926722
Deep Conversion: FCC (4),4,Hydrotreater,2050,3,MEDIUM,HEAVY,SOUR,2851.437191,133.6895854
Deep Conversion: FCC (4),4,Steam Boiler,2050,3,MEDIUM,HEAVY,SOUR,318.9511291,170.9952508
Deep Conversion: FCC (4),4,SMR,2050,3,MEDIUM,HEAVY,SOUR,1245.089231,117.1165206
Deep Conversion: FCC (4),4,Others,2050,3,MEDIUM,HEAVY,SOUR,518.818277,156.8070259
Deep Conversion: GO-HC (5),5,ADU/VDU,2050,3,MEDIUM,HEAVY,SOUR,92.34612918,187.5212307
Deep Conversion: GO-HC (5),5,CNR,2050,3,MEDIUM,HEAVY,SOUR,33.71115681,220.3717352
Deep Conversion: GO-HC (5),5,FCC,2050,3,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,Coker,2050,3,MEDIUM,HEAVY,SOUR,45.69376162,207.9639729
Deep Conversion: GO-HC (5),5,Hydrotreater,2050,3,MEDIUM,HEAVY,SOUR,76.48081992,193.7152165
Deep Conversion: GO-HC (5),5,Steam Boiler,2050,3,MEDIUM,HEAVY,SOUR,7.074031943,347.1043346
Deep Conversion: GO-HC (5),5,SMR,2050,3,MEDIUM,HEAVY,SOUR,138.8531299,142.2973634
Deep Conversion: GO-HC (5),5,Others,2050,3,MEDIUM,HEAVY,SOUR,42.56071768,211.5648279
Deep Conversion: FCC & GO-HC (6),6,ADU/VDU,2050,3,MEDIUM,HEAVY,SOUR,5488.704171,131.0595194
Deep Conversion: FCC & GO-HC (6),6,CNR,2050,3,MEDIUM,HEAVY,SOUR,1904.651729,140.0688995
Deep Conversion: FCC & GO-HC (6),6,FCC,2050,3,MEDIUM,HEAVY,SOUR,6199.79779,83.53174959
Deep Conversion: FCC & GO-HC (6),6,Coker,2050,3,MEDIUM,HEAVY,SOUR,2957.382677,135.1764423
Deep Conversion: FCC & GO-HC (6),6,Hydrotreater,2050,3,MEDIUM,HEAVY,SOUR,5985.010058,130.5361992
Deep Conversion: FCC & GO-HC (6),6,Steam Boiler,2050,3,MEDIUM,HEAVY,SOUR,589.5281414,162.4686404
Deep Conversion: FCC & GO-HC (6),6,SMR,2050,3,MEDIUM,HEAVY,SOUR,3761.287599,107.4683996
Deep Conversion: FCC & GO-HC (6),6,Others,2050,3,MEDIUM,HEAVY,SOUR,1434.526447,143.7088432
Hydroskimming Configuration (0),0,ADU/VDU,2050,4,MEDIUM,HEAVY,SOUR,5.199580542,505.3663798
Hydroskimming Configuration (0),0,CNR,2050,4,MEDIUM,HEAVY,SOUR,0.079236748,0
Hydroskimming Configuration (0),0,FCC,2050,4,MEDIUM,HEAVY,SOUR,0,0
Hydroskimming Configuration (0),0,Coker,2050,4,MEDIUM,HEAVY,SOUR,0,0
Hydroskimming Configuration (0),0,Hydrotreater,2050,4,MEDIUM,HEAVY,SOUR,4.217589085,563.1924447
Hydroskimming Configuration (0),0,Steam Boiler,2050,4,MEDIUM,HEAVY,SOUR,0.326221736,3280.340769
Hydroskimming Configuration (0),0,SMR,2050,4,MEDIUM,HEAVY,SOUR,2.402904466,852.7448187
Hydroskimming Configuration (0),0,Others,2050,4,MEDIUM,HEAVY,SOUR,1.997300767,853.0914598
Medium Conversion:  FCC (1),1,ADU/VDU,2050,4,MEDIUM,HEAVY,SOUR,295.9213051,203.9546922
Medium Conversion:  FCC (1),1,CNR,2050,4,MEDIUM,HEAVY,SOUR,50.56787994,264.4110209
Medium Conversion:  FCC (1),1,FCC,2050,4,MEDIUM,HEAVY,SOUR,177.1523248,152.0696114
Medium Conversion:  FCC (1),1,Coker,2050,4,MEDIUM,HEAVY,SOUR,181.8640458,215.4390724
Medium Conversion:  FCC (1),1,Hydrotreater,2050,4,MEDIUM,HEAVY,SOUR,231.3913996,210.0012344
Medium Conversion:  FCC (1),1,Steam Boiler,2050,4,MEDIUM,HEAVY,SOUR,25.99841861,312.2401169
Medium Conversion:  FCC (1),1,SMR,2050,4,MEDIUM,HEAVY,SOUR,100.518112,196.548199
Medium Conversion:  FCC (1),1,Others,2050,4,MEDIUM,HEAVY,SOUR,56.13231898,259.3700754
Medium Conversion: GO-HC (2),2,ADU/VDU,2050,4,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,CNR,2050,4,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,FCC,2050,4,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Coker,2050,4,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Hydrotreater,2050,4,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Steam Boiler,2050,4,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,SMR,2050,4,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Others,2050,4,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: FCC & GO-HC (3),3,ADU/VDU,2050,4,MEDIUM,HEAVY,SOUR,84.7978551,239.3792387
Medium Conversion: FCC & GO-HC (3),3,CNR,2050,4,MEDIUM,HEAVY,SOUR,37.73398704,273.9577602
Medium Conversion: FCC & GO-HC (3),3,FCC,2050,4,MEDIUM,HEAVY,SOUR,53.703171,188.5780931
Medium Conversion: FCC & GO-HC (3),3,Coker,2050,4,MEDIUM,HEAVY,SOUR,44.32313603,265.7320419
Medium Conversion: FCC & GO-HC (3),3,Hydrotreater,2050,4,MEDIUM,HEAVY,SOUR,83.35977913,241.0327764
Medium Conversion: FCC & GO-HC (3),3,Steam Boiler,2050,4,MEDIUM,HEAVY,SOUR,8.356118044,429.6524764
Medium Conversion: FCC & GO-HC (3),3,SMR,2050,4,MEDIUM,HEAVY,SOUR,20.92456903,290.1442051
Medium Conversion: FCC & GO-HC (3),3,Others,2050,4,MEDIUM,HEAVY,SOUR,19.16608847,329.3767814
Deep Conversion: FCC (4),4,ADU/VDU,2050,4,MEDIUM,HEAVY,SOUR,263.1067454,205.7142191
Deep Conversion: FCC (4),4,CNR,2050,4,MEDIUM,HEAVY,SOUR,106.1702031,231.8151406
Deep Conversion: FCC (4),4,FCC,2050,4,MEDIUM,HEAVY,SOUR,255.6001016,143.1895401
Deep Conversion: FCC (4),4,Coker,2050,4,MEDIUM,HEAVY,SOUR,120.8985053,227.2409242
Deep Conversion: FCC (4),4,Hydrotreater,2050,4,MEDIUM,HEAVY,SOUR,245.8037755,207.8024657
Deep Conversion: FCC (4),4,Steam Boiler,2050,4,MEDIUM,HEAVY,SOUR,27.24124125,309.0796632
Deep Conversion: FCC (4),4,SMR,2050,4,MEDIUM,HEAVY,SOUR,37.66735826,249.8837969
Deep Conversion: FCC (4),4,Others,2050,4,MEDIUM,HEAVY,SOUR,65.7122981,250.9259968
Deep Conversion: GO-HC (5),5,ADU/VDU,2050,4,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,CNR,2050,4,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,FCC,2050,4,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,Coker,2050,4,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,Hydrotreater,2050,4,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,Steam Boiler,2050,4,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,SMR,2050,4,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,Others,2050,4,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: FCC & GO-HC (6),6,ADU/VDU,2050,4,MEDIUM,HEAVY,SOUR,174.409208,215.6309948
Deep Conversion: FCC & GO-HC (6),6,CNR,2050,4,MEDIUM,HEAVY,SOUR,39.218161,272.3058318
Deep Conversion: FCC & GO-HC (6),6,FCC,2050,4,MEDIUM,HEAVY,SOUR,158.1649698,154.1558596
Deep Conversion: FCC & GO-HC (6),6,Coker,2050,4,MEDIUM,HEAVY,SOUR,94.50298271,234.4029672
Deep Conversion: FCC & GO-HC (6),6,Hydrotreater,2050,4,MEDIUM,HEAVY,SOUR,156.7874371,219.3541917
Deep Conversion: FCC & GO-HC (6),6,Steam Boiler,2050,4,MEDIUM,HEAVY,SOUR,11.24742298,389.2028914
Deep Conversion: FCC & GO-HC (6),6,SMR,2050,4,MEDIUM,HEAVY,SOUR,114.2501402,189.2377272
Deep Conversion: FCC & GO-HC (6),6,Others,2050,4,MEDIUM,HEAVY,SOUR,65.11332974,247.466086
Hydroskimming Configuration (0),0,ADU/VDU,2050,5,MEDIUM,HEAVY,SOUR,469.2409993,253.2338832
Hydroskimming Configuration (0),0,CNR,2050,5,MEDIUM,HEAVY,SOUR,274.6289807,269.4206086
Hydroskimming Configuration (0),0,FCC,2050,5,MEDIUM,HEAVY,SOUR,0,0
Hydroskimming Configuration (0),0,Coker,2050,5,MEDIUM,HEAVY,SOUR,0,0
Hydroskimming Configuration (0),0,Hydrotreater,2050,5,MEDIUM,HEAVY,SOUR,574.2063248,248.1694185
Hydroskimming Configuration (0),0,Steam Boiler,2050,5,MEDIUM,HEAVY,SOUR,66.05930419,335.1749468
Hydroskimming Configuration (0),0,SMR,2050,5,MEDIUM,HEAVY,SOUR,38.53017834,334.9700067
Hydroskimming Configuration (0),0,Others,2050,5,MEDIUM,HEAVY,SOUR,78.26705678,331.9953024
Medium Conversion:  FCC (1),1,ADU/VDU,2050,5,MEDIUM,HEAVY,SOUR,265.9455427,257.7668158
Medium Conversion:  FCC (1),1,CNR,2050,5,MEDIUM,HEAVY,SOUR,69.49827565,318.2469552
Medium Conversion:  FCC (1),1,FCC,2050,5,MEDIUM,HEAVY,SOUR,225.7577336,182.0706823
Medium Conversion:  FCC (1),1,Coker,2050,5,MEDIUM,HEAVY,SOUR,128.3685703,283.9373687
Medium Conversion:  FCC (1),1,Hydrotreater,2050,5,MEDIUM,HEAVY,SOUR,274.7361272,256.8941508
Medium Conversion:  FCC (1),1,Steam Boiler,2050,5,MEDIUM,HEAVY,SOUR,33.00424429,375.2913395
Medium Conversion:  FCC (1),1,SMR,2050,5,MEDIUM,HEAVY,SOUR,47.42476124,295.2566364
Medium Conversion:  FCC (1),1,Others,2050,5,MEDIUM,HEAVY,SOUR,32.19913338,381.2978794
Medium Conversion: GO-HC (2),2,ADU/VDU,2050,5,MEDIUM,HEAVY,SOUR,125.935052,293.7300661
Medium Conversion: GO-HC (2),2,CNR,2050,5,MEDIUM,HEAVY,SOUR,47.26179825,343.1295664
Medium Conversion: GO-HC (2),2,FCC,2050,5,MEDIUM,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Coker,2050,5,MEDIUM,HEAVY,SOUR,60.27861967,328.1968887
Medium Conversion: GO-HC (2),2,Hydrotreater,2050,5,MEDIUM,HEAVY,SOUR,83.34434225,314.5793141
Medium Conversion: GO-HC (2),2,Steam Boiler,2050,5,MEDIUM,HEAVY,SOUR,12.54054194,477.5853428
Medium Conversion: GO-HC (2),2,SMR,2050,5,MEDIUM,HEAVY,SOUR,198.1549289,214.9625111
Medium Conversion: GO-HC (2),2,Others,2050,5,MEDIUM,HEAVY,SOUR,67.1772172,322.5060525
Medium Conversion: FCC & GO-HC (3),3,ADU/VDU,2050,5,MEDIUM,HEAVY,SOUR,269.1076345,256.9729076
Medium Conversion: FCC & GO-HC (3),3,CNR,2050,5,MEDIUM,HEAVY,SOUR,34.43445232,368.7795553
Medium Conversion: FCC & GO-HC (3),3,FCC,2050,5,MEDIUM,HEAVY,SOUR,254.4877246,177.771028
Medium Conversion: FCC & GO-HC (3),3,Coker,2050,5,MEDIUM,HEAVY,SOUR,137.0566879,280.1442471
Medium Conversion: FCC & GO-HC (3),3,Hydrotreater,2050,5,MEDIUM,HEAVY,SOUR,252.3778667,259.5271613
Medium Conversion: FCC & GO-HC (3),3,Steam Boiler,2050,5,MEDIUM,HEAVY,SOUR,29.19747266,385.0363174
Medium Conversion: FCC & GO-HC (3),3,SMR,2050,5,MEDIUM,HEAVY,SOUR,197.2900114,216.7657129
Medium Conversion: FCC & GO-HC (3),3,Others,2050,5,MEDIUM,HEAVY,SOUR,61.05610516,322.8288008
Deep Conversion: FCC (4),4,ADU/VDU,2050,5,MEDIUM,HEAVY,SOUR,243.031669,261.6715414
Deep Conversion: FCC (4),4,CNR,2050,5,MEDIUM,HEAVY,SOUR,76.17398142,312.4083251
Deep Conversion: FCC (4),4,FCC,2050,5,MEDIUM,HEAVY,SOUR,182.0293326,188.3046302
Deep Conversion: FCC (4),4,Coker,2050,5,MEDIUM,HEAVY,SOUR,107.5603748,293.1981303
Deep Conversion: FCC (4),4,Hydrotreater,2050,5,MEDIUM,HEAVY,SOUR,223.4972149,265.1288594
Deep Conversion: FCC (4),4,Steam Boiler,2050,5,MEDIUM,HEAVY,SOUR,31.13809317,379.8313267
Deep Conversion: FCC (4),4,SMR,2050,5,MEDIUM,HEAVY,SOUR,76.78917425,262.2179829
Deep Conversion: FCC (4),4,Others,2050,5,MEDIUM,HEAVY,SOUR,40.59705192,357.0270251
Deep Conversion: GO-HC (5),5,ADU/VDU,2050,5,MEDIUM,HEAVY,SOUR,330.5896295,265.8032036
Deep Conversion: GO-HC (5),5,CNR,2050,5,MEDIUM,HEAVY,SOUR,154.8417542,291.3045411
Deep Conversion: GO-HC (5),5,FCC,2050,5,MEDIUM,HEAVY,SOUR,0,0
Deep Conversion: GO-HC (5),5,Coker,2050,5,MEDIUM,HEAVY,SOUR,149.2142448,293.3417824
Deep Conversion: GO-HC (5),5,Hydrotreater,2050,5,MEDIUM,HEAVY,SOUR,293.3241314,269.8187181
Deep Conversion: GO-HC (5),5,Steam Boiler,2050,5,MEDIUM,HEAVY,SOUR,31.27105004,379.4936704
Deep Conversion: GO-HC (5),5,SMR,2050,5,MEDIUM,HEAVY,SOUR,685.4771166,187.8209588
Deep Conversion: GO-HC (5),5,Others,2050,5,MEDIUM,HEAVY,SOUR,220.5286401,278.732969
Deep Conversion: FCC & GO-HC (6),6,ADU/VDU,2050,5,MEDIUM,HEAVY,SOUR,1499.4819,224.0858773
Deep Conversion: FCC & GO-HC (6),6,CNR,2050,5,MEDIUM,HEAVY,SOUR,359.3879657,262.2860029
Deep Conversion: FCC & GO-HC (6),6,FCC,2050,5,MEDIUM,HEAVY,SOUR,872.7366842,151.8718221
Deep Conversion: FCC & GO-HC (6),6,Coker,2050,5,MEDIUM,HEAVY,SOUR,859.0456744,235.8004121
Deep Conversion: FCC & GO-HC (6),6,Hydrotreater,2050,5,MEDIUM,HEAVY,SOUR,1353.325331,225.9904359
Deep Conversion: FCC & GO-HC (6),6,Steam Boiler,2050,5,MEDIUM,HEAVY,SOUR,190.417183,291.141646
Deep Conversion: FCC & GO-HC (6),6,SMR,2050,5,MEDIUM,HEAVY,SOUR,1001.44125,182.2575822
Deep Conversion: FCC & GO-HC (6),6,Others,2050,5,MEDIUM,HEAVY,SOUR,219.2700608,284.8108281
